,products_name,products_id,,persons_id,products_method,products_detail,products_price
,霊視占い,1,慧蘭（けいらん）,1,霊感霊視,,0
,仕事占い,2,慧蘭（けいらん）,1,霊感霊視,"●仕事運について
●あなたの天職や適職について
●今の仕事を続けるべきかどうか
●もし転職したらどうなるか
●上司や同僚からどう思われてるか
●総合的なアドバイス",0
,妊娠占い,3,慧蘭（けいらん）,1,霊感タロット,"●何ヶ月以内に妊娠できる？
●子供ができやすい時期
●子供が出来ない原因
●夫婦の相性を良くする方法
●妊娠のチャンスを大きくする方法",0
,片思い占い,4,慧蘭（けいらん）,1,霊感霊視,"●彼のあなたへの気持ちや深層心理、彼があなたに対して望んでいる事
●二人の今後
●別れや彼の気持ちが離れる原因
●彼があなたに隠している事
●彼は最終的にあなたと、どうなりたいと思ってる？
●彼との絆を深める方法
●総合的なアドバイス",0
,復縁占い,5,慧蘭（けいらん）,1,霊感霊視,"●元カレのあなたに対する気持ち。
●復縁の行方
●復縁に繋がる方法
●ラインのメッセージについての悩み
●自分はこれからどうすればいいのか
●彼の潜在意識、心理状態。
●現状から気を付けるべき事や心がけ。
●今、受け入れるべき事実。
●その他のアドバイス",0
,不倫占い,6,慧蘭（けいらん）,1,霊感タロット,"●彼の気持ちを知りたい
●最終的にこの恋の行方はどうなる？
●総合的なアドバイス",0
,彼の気持ち,7,慧蘭（けいらん）,1,霊感タロット,"●彼のあなたへの気持ちや深層心理
●彼があなたに対して望んでいる事
●二人の今後
●別れや彼の気持ちが離れる原因
●将来結婚に繋がるかどうか
●彼があなたに隠している事
●彼は最終的にあなたと、どうなりたいと思ってる？
●彼との絆を深める方法
●その他のアドバイス",0
,夫婦占い,8,慧蘭（けいらん）,1,霊感タロット,"●ご主人の気持ちや深層心理
●ご主人があなたに望んでいる事
●夫婦の今後について
●ご主人は浮気をしている？
●離婚をすべきかどうか
●総合的なアドバイス",0
,運命の相手,9,慧蘭（けいらん）,1,霊感霊視,"●結婚運や結婚時期
●運命の相手の外見や性格、出会うタイミング
●今の彼は運命の相手？彼と結婚しても後悔しない？
●片思いの彼と結婚できるか
●総合的なアドバイス",0
,縁結び,10,慧蘭（けいらん）,1,霊感霊視,"●縁結びの結果
●恋愛運が上がる方法
●総合的なアドバイス",3000
,年の差占い,11,慧蘭（けいらん）,1,霊感タロット,"●彼のあなたへの気持ちや深層心理
●彼があなたに対して望んでいる事
●二人の今後
●将来結婚に繋がるかどうか
●彼があなたに隠している事
●彼は最終的にあなたと、どうなりたいと思ってる？
●恋愛成就の方法
●その他なアドバイス",0
,お子様占い,12,慧蘭（けいらん）,1,霊感タロット,"●お子様があなたの元に生まれてきた理由
●お子様の性格や性質、適職、才能について
●子育てに関するアドバイス

●お子様との関係を良好にする方法
●総合的なアドバイス",0
,離婚占い,13,慧蘭（けいらん）,1,霊感タロット,"●離婚に踏み切るべき？それとも我慢？
●離婚する確率や離婚する方法等
●離婚後の未来はどうなる？
●総合的なアドバイス",0
,前世現世来世,14,慧蘭（けいらん）,1,霊感霊視,"●前世の記録(姿・性格・周囲からの印象)
●前世の歩んだ道のり(経験)
●前世から受け継いだこと(現世)
●前世のことをどのように活用すべきか
●現世のあなたの使命、生まれてきた意味
●来世はどうなるのか？
●総合的なアドバイス",0
,彼との前世,15,慧蘭（けいらん）,1,霊感霊視,"●彼とあなたの前世での繋がりや関係生
●二人が現世で出会った意味
●彼の気持ちや彼との相性、恋の行方について
●総合的なアドバイス",0
,天国のメッセージ,16,慧蘭（けいらん）,1,霊感霊視,"●当時のあの人気持ち
●あの人のメッセージ
●総合的なアドバイス",0
,縁切り,17,慧蘭（けいらん）,1,"呪術
思念伝達","①縁を切りたい方の気持ちや潜在意識
②思念伝達の結果
③思念結果に基づくアドバイス",3000
,魂の記憶から願望成就,18,慧蘭（けいらん）,1,霊感霊視,"①魂の記憶を読み取り願望成就につなげる方法
②総合的なアドバイス",3480
,スピリチュアル診断,19,慧蘭（けいらん）,1,霊視・オーラ・チャクラ,"●あなたのスピリチュアルな能力について
●スキル開化の方法
●総合的なアドバイス",0
,未来予知,20,慧蘭（けいらん）,1,霊感タロット,●総合的なアドバイス,0
,ペット鑑定,21,慧蘭（けいらん）,1,"霊視
アニマルチャネリング","●ペットの気持ち
●ペットと今後も仲良くなる方法
●総合的なアドバイス",0
,好きな人占い,22,慧蘭（けいらん）,1,霊感タロット,"●彼の好きな人や元カレについて
●今後の恋愛運
●総合的なアドバイス",0
,思念伝達,23,慧蘭（けいらん）,1,思念伝達,"①彼の気持ちや潜在意識
②思念伝達の結果
③思念結果に基づくアドバイス",2000
,ヒーリング,24,慧蘭（けいらん）,1,ヒーリング,,0
,ツインレイ鑑定,25,慧蘭（けいらん）,1,霊感霊視,"●彼とはツインレイの関係かどうか
●既にツインレイと出会ってる？ツインレイはどんな人？
●総合的なアドバイス",3480
,その他,26,慧蘭（けいらん）,1,,,0
,妊娠,27,恋霊 れんれい,2,霊感・霊視,"●いつごろ妊娠は出来る？不妊治療をすべきかどうか
●妊娠しやすい時期や月はいつ？
●子供が出来ない原因は？
●パートナーとの相性はどう？
●将来恵まれる子供の人数と性別は？
●妊娠の確率を上げる方法を教えてほしい等
●無事に出産出来るか
●総合的なアドバイス",1500
,復縁,28,恋霊 れんれい,2,霊感・霊視,,1500
,霊感霊視,29,恋霊 れんれい,2,霊感・霊視,●総合的なアドバイス,3000
,彼との前世,30,恋霊 れんれい,2,霊感・霊視,"●彼とあなたの前世での繋がり
●二人が現世で出会った意味
●彼の気持ちや恋の行方、彼との相性
●総合的なアドバイス",1500
,不倫,31,恋霊 れんれい,2,霊感・霊視,"●不倫相手の彼の気持ち
●将来の不倫の行方
●私or彼の離婚の可能性
●パートナーに不倫がバレてないか
●総合的なアドバイス",1500
,前世,32,恋霊 れんれい,2,霊感・霊視,"●あなたの前世について
●あなたの本質や深層心理
●現世のあなたの使命
●総合的なアドバイス",1500
,天国のメッセージ,33,恋霊 れんれい,2,霊感・霊視、チャネリング,"●当時のあの人気持ち
●あの人のメッセージ
●総合的なアドバイス",1500
,ヒーリング,34,恋霊 れんれい,2,,,3000
,スピリチュアル診断,35,恋霊 れんれい,2,霊感・霊視、チャクラ、オーラ,"●あなたの潜在的なスピリチュアルな能力
●スキルを開花する為の方法
●総合的なアドバイス",1000
,運命の相手,36,恋霊 れんれい,2,霊感・霊視,"●結婚運や結婚時期
●運命の相手の外見や性格、出会うタイミング

●総合的なアドバイス",1000
,アニマルチャネリング,37,恋霊 れんれい,2,霊感・霊視,"●ペットの気持ち
●ペットと今後も仲良くなる方法
●総合的なアドバイス",1000
,仕事占い,38,恋霊 れんれい,2,霊感・霊視,,1000
,その他,39,恋霊 れんれい,2,霊感・霊視,,0
,花の妖精占い,40,フェアリース,3,花の妖精タロット,"●あなたに付いている花の妖精について
●鑑定結果（500~700文字）
●鑑定結果のまとめ、総合的なアドバイス(200~300文字)
●花の妖精からのアドバイス(100~200文字)",500
,縁結び,41,フェアリース,3,花の妖精の縁結び,"●あなたに付いている花の妖精について
●花の妖精が感じ取る彼の気持ち
●花の妖精が縁を繋げるおまじない
●花の妖精からのアドバイス",500
,子宝【花の妖精】,42,フェアリース,3,花の妖精タロット,"●あなたに付いている花の妖精について
●鑑定結果（500~700文字）
●鑑定結果のまとめ、総合的なアドバイス(200~300文字)
●花の妖精からのアドバイス(100~200文字)",500
,復縁【花の妖精】,43,フェアリース,3,花の妖精タロット,"●あなたに付いている花の妖精について
●鑑定結果（500~700文字）
●鑑定結果のまとめ、総合的なアドバイス(200~300文字)
●花の妖精からのアドバイス(100~200文字)",500
,結婚【花の妖精】,44,フェアリース,3,花の妖精タロット,"●あなたに付いている花の妖精について
●鑑定結果（500~700文字）
●鑑定結果のまとめ、総合的なアドバイス(200~300文字)
●花の妖精からのアドバイス(100~200文字)",500
,不倫【花の妖精】,45,フェアリース,3,花の妖精タロット,"●あなたに付いている花の妖精について
●鑑定結果（500~700文字）
●鑑定結果のまとめ、総合的なアドバイス(200~300文字)
●花の妖精からのアドバイス(100~200文字)",500
,片思い【花の妖精】,46,フェアリース,3,花の妖精タロット,"●あなたに付いている花の妖精について
●鑑定結果（500~700文字）
●鑑定結果のまとめ、総合的なアドバイス(200~300文字)
●花の妖精からのアドバイス(100~200文字)",500
,カップル【花の妖精】,47,フェアリース,3,花の妖精タロット,"●あなたに付いている花の妖精について
●鑑定結果（500~700文字）
●鑑定結果のまとめ、総合的なアドバイス(200~300文字)
●花の妖精からのアドバイス(100~200文字)",500
,その他,48,フェアリース,3,,,0
,その他,49,観霊-かんれい,4,,,0
